question_id,dish_code,dish_name,question_type,question,question_status,answer_owner,impact,evidence_ids,blocker_ids,raised_date,checkpoint,answer,answer_date
CQ-0093,VKM-019,Мурманская треска со сливочно-горчичным соусом,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0094,VKM-019,Мурманская треска со сливочно-горчичным соусом,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0095,VKM-019,Мурманская треска со сливочно-горчичным соусом,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0096,VKM-020,Креветки по-тайски,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0097,VKM-020,Креветки по-тайски,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0098,VKM-020,Креветки по-тайски,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0099,VKM-020,Креветки по-тайски,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0100,VKM-020,Креветки по-тайски,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0101,VKM-021,Бургер VARSHAVKA,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0102,VKM-021,Бургер VARSHAVKA,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0103,VKM-021,Бургер VARSHAVKA,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0104,VKM-021,Бургер VARSHAVKA,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0105,VKM-021,Бургер VARSHAVKA,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0106,VKM-021,Бургер VARSHAVKA,DEPENDENCY,"Подтвердить, используется ли VKM-008 как готовая бриошь или отдельная спецификация бриоши для бургера.",OPEN,Chef,Связи VKM/VSF; себестоимость; выпуск,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0107,VKM-022,Миньоны из говяжьей вырезки,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0108,VKM-022,Миньоны из говяжьей вырезки,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0109,VKM-022,Миньоны из говяжьей вырезки,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0110,VKM-022,Миньоны из говяжьей вырезки,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0111,VKM-022,Миньоны из говяжьей вырезки,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0112,VKM-023,Запечённый картофель,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0113,VKM-023,Запечённый картофель,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0114,VKM-023,Запечённый картофель,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0115,VKM-023,Запечённый картофель,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0116,VKM-023,Запечённый картофель,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0117,VKM-024,Рис жасмин,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0118,VKM-024,Рис жасмин,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0119,VKM-024,Рис жасмин,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0120,VKM-024,Рис жасмин,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0121,VKM-024,Рис жасмин,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0122,VKM-025,Горячие овощи,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0123,VKM-025,Горячие овощи,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0124,VKM-025,Горячие овощи,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0125,VKM-025,Горячие овощи,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0126,VKM-025,Горячие овощи,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0127,VKM-029,Черничный торт VARSHAVKA,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0128,VKM-029,Черничный торт VARSHAVKA,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0129,VKM-029,Черничный торт VARSHAVKA,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0130,VKM-029,Черничный торт VARSHAVKA,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0131,VKM-029,Черничный торт VARSHAVKA,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0132,VKM-029,Черничный торт VARSHAVKA,BATCH,"Подтвердить размер партии, число изделий/порций, массу до и после стабилизации и правила допустимого отклонения.",OPEN,Chef,Mass balance; порционирование; capacity,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0133,VKM-030,Кростата с солёной карамелью,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0134,VKM-030,Кростата с солёной карамелью,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0135,VKM-030,Кростата с солёной карамелью,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0136,VKM-030,Кростата с солёной карамелью,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0137,VKM-030,Кростата с солёной карамелью,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0138,VKM-030,Кростата с солёной карамелью,BATCH,"Подтвердить размер партии, число изделий/порций, массу до и после стабилизации и правила допустимого отклонения.",OPEN,Chef,Mass balance; порционирование; capacity,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0139,VKM-031,Мадлен,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0140,VKM-031,Мадлен,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0141,VKM-031,Мадлен,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0142,VKM-031,Мадлен,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0143,VKM-031,Мадлен,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0144,VKM-031,Мадлен,BATCH,"Подтвердить размер партии, число изделий/порций, массу до и после стабилизации и правила допустимого отклонения.",OPEN,Chef,Mass balance; порционирование; capacity,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-BF-026-01,VKM-026,"Яичница, круассан и сыр двух видов",SAFETY,Подтвердить safety route only after evidence,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-026-02,VKM-026,"Яичница, круассан и сыр двух видов",RECIPE,Подтвердить построчный состав и нормы,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-026-03,VKM-026,"Яичница, круассан и сыр двух видов",OUTPUT,Подтвердить фактический выход контрольной серией,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-026-04,VKM-026,"Яичница, круассан и сыр двух видов",SUPPLIER,Выбрать SKU и получить документы,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-027-01,VKM-027,"Омлет, круассан и сыр двух видов",SAFETY,Подтвердить safety route only after evidence,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-027-02,VKM-027,"Омлет, круассан и сыр двух видов",RECIPE,Подтвердить построчный состав и нормы,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-027-03,VKM-027,"Омлет, круассан и сыр двух видов",OUTPUT,Подтвердить фактический выход контрольной серией,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-027-04,VKM-027,"Омлет, круассан и сыр двух видов",SUPPLIER,Выбрать SKU и получить документы,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-028-01,VKM-028,"Овсяная каша, круассан и сыр двух видов",SAFETY,Подтвердить safety route only after evidence,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-028-02,VKM-028,"Овсяная каша, круассан и сыр двух видов",RECIPE,Подтвердить построчный состав и нормы,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-028-03,VKM-028,"Овсяная каша, круассан и сыр двух видов",OUTPUT,Подтвердить фактический выход контрольной серией,OPEN,Chef / Owner,P1; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
CQ-BF-028-04,VKM-028,"Овсяная каша, круассан и сыр двух видов",SUPPLIER,Выбрать SKU и получить документы,OPEN,Chef / Owner,P0; recipe; costing; safety,,CHEF_DECISION;CONTROL_COOK;SUPPLIER_DOCS,2026-08-04,Owner/Chef Gate,,
