decision_id,scope,required_decision,options,recommended_option,evidence,cost_impact,price_margin_impact,safety_impact,equipment_impact,decision_owner,unblock_condition,status
CPD-032,ING-052,Выбрать закупочный SKU и цену для «Капуста квашеная»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-052; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 28 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-033,ING-053,Выбрать закупочный SKU и цену для «Горошек консервированный без заливки»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-053; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 16 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-034,ING-056,Выбрать закупочный SKU и цену для «Каперсы»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-056; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 6 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-035,ING-058,Утвердить точную спецификацию и модель make/buy для «Картофель запечённый»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-058; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 135 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-036,ING-059,Выбрать закупочный SKU и цену для «Зелень»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-059; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 26.5 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-037,ING-060,Выбрать закупочный SKU и цену для «Оливки зелёные без заливки»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-060; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 65 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-038,ING-061,Выбрать закупочный SKU и цену для «Маслины без заливки»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-061; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 65 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-039,ING-062,Выбрать закупочный SKU и цену для «Цедра цитрусовая»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-062; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 5 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-040,ING-063,Выбрать закупочный SKU и цену для «Пряные травы»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-063; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 16 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-041,ING-065,Выбрать закупочный SKU и цену для «Уксус пищевой»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-065; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 5 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-042,ING-066,Утвердить точную спецификацию и модель make/buy для «Ростбиф охлаждённый готовый»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-066; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 115 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-043,ING-067,Выбрать закупочный SKU и цену для «Хлеб для гренки»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-067; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 34 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-044,ING-068,Утвердить точную спецификацию и модель make/buy для «Майонез или эмульсионный соус»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-068; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 7 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-045,ING-069,Утвердить точную спецификацию и модель make/buy для «Сок мясной или бульон»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-069; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 3 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-046,ING-070,Утвердить точную спецификацию и модель make/buy для «Бульон мясной»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-070; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 160 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-047,ING-073,Утвердить точную спецификацию и модель make/buy для «Говядина отварная»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-073; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 65 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-048,ING-075,Выбрать закупочный SKU и цену для «Сметана»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-075; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 15 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-049,ING-078,Утвердить точную спецификацию и модель make/buy для «Бульон рыбный или овощной»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-078; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 12 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-050,ING-079,Выбрать закупочный SKU и цену для «Шпинат»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-079; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 30 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-051,ING-080,Выбрать закупочный SKU и цену для «Молоко кокосовое»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-080; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 84 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-052,ING-081,Утвердить точную спецификацию и модель make/buy для «Паста карри проектная»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-081; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 15 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-053,ING-082,Утвердить точную спецификацию и модель make/buy для «Бульон или вода»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-082; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 20 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-054,ING-083,Утвердить точную спецификацию и модель make/buy для «Соус рыбный или соевый»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-083; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 10 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-055,ING-084,Выбрать закупочный SKU и цену для «Цукини»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-084; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 78 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-056,ING-085,Утвердить точную спецификацию и модель make/buy для «Лапша рисовая подготовленная»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-085; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 45 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-057,ING-086,Выбрать закупочный SKU и цену для «Зелень и лайм»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-086; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 13 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-058,ING-087,Выбрать закупочный SKU и цену для «Бриошь VKM-008»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-087; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 85 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-059,ING-089,Утвердить точную спецификацию и модель make/buy для «Жир говяжий или иной компонент котлеты»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-089; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 5 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-060,ING-090,Выбрать закупочный SKU и цену для «Сыр ломтиковый»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-090; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 20 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-061,ING-091,Выбрать закупочный SKU и цену для «Томат»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-091; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 34 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-062,ING-092,Выбрать закупочный SKU и цену для «Огурец маринованный»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-092; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 23 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
