ingredient_id,ingredient_name,scenario_price_rub_per_kg,benchmark_type,benchmark_id,benchmark_description,source_url,source_date,conversion_or_mapping,confidence,scenario_status,procurement_block,limitation
ING-070,Бульон мясной,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-071,Свёкла,39,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0079,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-072,Картофель,99.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0090,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-073,Говядина отварная,789.99,PUBLIC_CATEGORY_PROXY,ING-088,Proxy from ING-088: Говядина для котлеты,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-088; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-074,Морковь,52.495,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0044;PSR-0080,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-075,Сметана,899.98,PUBLIC_CATEGORY_PROXY,ING-077,Proxy from ING-077: Сливки,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-077; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-076,"Треска, филе порционное",1144.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0046;PSR-0047;PSR-0048;PSR-0049,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-077,Сливки,899.98,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0050;PSR-0051;PSR-0052,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-078,Бульон рыбный или овощной,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-079,Шпинат,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-080,Молоко кокосовое,579.96,PUBLIC_CATEGORY_PROXY,PXY-009,Молоко кокосовое AROY-D,https://lenta.com/product/moloko-kokosovoe-indoneziya-tailand-250ml-379394/,2026-08-03,Public category benchmark PXY-009; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-081,Паста карри проектная,335.642857,PUBLIC_CATEGORY_PROXY,PXY-010,Горчица МАХЕЕВЪ Русская,https://lenta.com/product/gorchica-russkaya-rossiya-140g-309783/,2026-08-03,Public category benchmark PXY-010; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-082,Бульон или вода,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-083,Соус рыбный или соевый,559.96,PUBLIC_CATEGORY_PROXY,PXY-007,Соус соевый SEN SOY Original,https://lenta.com/product/sous-soevyjj-klassicheskijj-stolovyjj-rossiya-250g-110901/,2026-08-03,Public category benchmark PXY-007; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-084,Цукини,270,PUBLIC_CATEGORY_PROXY,ING-102,Proxy from ING-102: Баклажан,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-102; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-085,Лапша рисовая подготовленная,229.98,PUBLIC_CATEGORY_PROXY,PXY-008,Рис НАЦИОНАЛЬ Premium Жасмин,https://lenta.com/product/ris-ris-nacional-premium-zhasmin-500g-rossiya-500g-618728/,2026-08-03,Public category benchmark PXY-008; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-086,Зелень и лайм,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-087,Бриошь VKM-008,297.851064,PUBLIC_CATEGORY_PROXY,PXY-011,Хлеб HARRY'S American sandwich,https://lenta.com/product/hleb-american-sandwich-pshenichnyjj-rossiya-470g-27224/,2026-08-03,Public category benchmark PXY-011; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-088,Говядина для котлеты,789.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0054,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-089,Жир говяжий или иной компонент котлеты,789.99,PUBLIC_CATEGORY_PROXY,ING-088,Proxy from ING-088: Говядина для котлеты,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-088; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-090,Сыр ломтиковый,909.975,PUBLIC_CATEGORY_PROXY,ING-009,Proxy from ING-009: Моцарелла,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-009; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-091,Томат,319.98,PUBLIC_CATEGORY_PROXY,ING-006,Proxy from ING-006: Томаты протёртые,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-006; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-092,Огурец маринованный,145,PUBLIC_CATEGORY_PROXY,ING-038,Proxy from ING-038: Огурец свежий,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-038; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-093,Лук,48.9,PUBLIC_CATEGORY_PROXY,ING-016,Proxy from ING-016: Лук репчатый,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-016; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-094,Соус эмульсионный,189.975,PUBLIC_CATEGORY_PROXY,PXY-006,Майонез ЯНТА Провансаль 67%,https://lenta.com/product/majjonez-provansal-67-dp-rossiya-400g-364099/,2026-08-03,Public category benchmark PXY-006; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-095,Соус томатный,319.98,PUBLIC_CATEGORY_PROXY,ING-006,Proxy from ING-006: Томаты протёртые,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-006; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-096,Салат листовой,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-097,Говяжья вырезка,1136.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0055;PSR-0056;PSR-0057;PSR-0058,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-098,Бульон или мясной сок,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-099,Маринад нейтральный проектный,277.207921,PUBLIC_CATEGORY_PROXY,PXY-005,Уксус бальзамический VARVELLO 6%,https://lenta.com/product/uksus-balzamicheskijj-iz-modeny-6-italiya-500ml-346487/,2026-08-03,Public category benchmark PXY-005; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-100,Рис жасмин сухой,229.98,PUBLIC_CATEGORY_PROXY,PXY-008,Рис НАЦИОНАЛЬ Premium Жасмин,https://lenta.com/product/ris-ris-nacional-premium-zhasmin-500g-rossiya-500g-618728/,2026-08-03,Public category benchmark PXY-008; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-101,"Вода питьевая, удержанная в продукте",43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-102,Баклажан,270,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0082,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-103,Брокколи,299.9875,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0083,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-104,Мука пшеничная кондитерская,64.995,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0084,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-105,Разрыхлитель,1299,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0085,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-106,Соль,42.99,PUBLIC_CATEGORY_PROXY,ING-004,Proxy from ING-004: Соль пищевая,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-004; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-107,Черника,783.3,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0061;PSR-0062;PSR-0063,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-108,Сыр сливочный,549.975,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0064,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-109,Сахарная пудра,159.96,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0086,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-110,Пектин или крахмал,174.975,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0087,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-111,Глазурь проектная,159.96,PUBLIC_CATEGORY_PROXY,ING-109,Proxy from ING-109: Сахарная пудра,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-109; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-112,Декор съедобный,159.96,PUBLIC_CATEGORY_PROXY,ING-109,Proxy from ING-109: Сахарная пудра,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-109; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-113,Цедра лимона,160,PUBLIC_CATEGORY_PROXY,ING-055,Proxy from ING-055: Лимон,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-055; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
