decision_id,dish_code,dish_name,decision_area,required_decision,options,recommended_option,evidence_ids,impact_cost,impact_price,impact_safety,impact_equipment,decision_owner,unblock_condition,current_status
OCD-0038,VKM-008,Бриошь,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0039,VKM-008,Бриошь,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0040,VKM-008,Бриошь,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0041,VKM-009,Буррата с томатами,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0042,VKM-009,Буррата с томатами,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0043,VKM-009,Буррата с томатами,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0044,VKM-009,Буррата с томатами,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0045,VKM-009,Буррата с томатами,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0046,VKM-010,Микс-салат с креветками и яблоком,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0047,VKM-010,Микс-салат с креветками и яблоком,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0048,VKM-010,Микс-салат с креветками и яблоком,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0049,VKM-010,Микс-салат с креветками и яблоком,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0050,VKM-010,Микс-салат с креветками и яблоком,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0051,VKM-011,Греческий,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0052,VKM-011,Греческий,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0053,VKM-011,Греческий,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0054,VKM-011,Греческий,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0055,VKM-011,Греческий,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0056,VKM-012,Винегрет,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0057,VKM-012,Винегрет,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0058,VKM-012,Винегрет,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0059,VKM-012,Винегрет,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0060,VKM-012,Винегрет,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0061,VKM-013,Слабосолёный лосось,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0062,VKM-013,Слабосолёный лосось,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0063,VKM-013,Слабосолёный лосось,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0064,VKM-013,Слабосолёный лосось,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0065,VKM-013,Слабосолёный лосось,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0066,VKM-014,Сельдь с запечённым картофелем,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0067,VKM-014,Сельдь с запечённым картофелем,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0068,VKM-014,Сельдь с запечённым картофелем,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0069,VKM-014,Сельдь с запечённым картофелем,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0070,VKM-014,Сельдь с запечённым картофелем,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
