INV_CODE,LEGACY_FUNC_CODE,CURRENT_FUNC_CODE,ASSET_NAME,ASSET_GROUP,SUBGROUP,QUANTITY,UNIT,MIN_TECH_REQUIREMENT,PROJECT_DIMENSIONS_MM,CONNECTIONS,SERVICE_ZONE_MM,BUSINESS_DIRECTION,ALLOCATION_DRIVER,MANDATORY_STATUS,ACTIVATION_GATE,BASE_SCENARIO_QTY,OPTIONAL_SCENARIO_QTY,HISTORICAL_ESTIMATE_RUB,CURRENT_PRICE_RUB,PRICE_STATUS,SOURCE_ID,ISSUE_ID,OWNER,APPROVAL_STATUS,NOTES
CAPEX.CLD.009,CP-04,CLD-09,Овощерезка,CAPEX,Холодный участок,1,шт.,После хронометража,по проекту,E1/E3,по паспорту,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-CLD-09,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.010,CP-05,CLD-10,Вакууматор,CAPEX,Холодный участок,0,шт.,Не включён в обязательный старт,—,—,—,SHARED,D03_AVOIDABLE,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BRK.001,BK-01,BRK-01,Индивидуальные формы омлета,CAPEX,Завтраки,12,шт.,10–12 форм,по печи,—,место хранения,CAFE,D01_DIRECT,MANDATORY,,12,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BRK.002,,BRK-02,Инвентарь яиц пашот,CAPEX,Завтраки,0,комплект,Специальный завтрак исключён,—,—,—,CAFE,D01_DIRECT,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BRK.003,BK-02,BRK-03,Кастрюля 5–8 л и малая водяная баня,CAPEX,Завтраки,1,комплект,Без длительного горячего хранения,—,использует индукцию,рабочая позиция,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BRK.004,ST-05,BRK-04,Весы и термощуп завтраков,CAPEX,Завтраки,1,комплект,Контроль выхода и температуры,—,E1 для весов,рабочая позиция,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BRK.005,,BRK-05,Маркировочный комплект завтраков,CAPEX,Завтраки,1,комплект,Прослеживаемость,—,E1 при принтере,рабочая позиция,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.001,PA-01,DSP-01,Горячая линия раздачи,CAPEX,Раздача,1,линия,1800–2400 мм; ≥60 позиций/час,1800–2400×700,по составу,проход 1200,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.002,,DSP-02,Тепловой мост,CAPEX,Раздача,1,шт.,6–8 тарелок,по линии,E1,верхний доступ,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.003,,DSP-03,Подогреватель тарелок,CAPEX,Раздача,1,шт.,40–60 тарелок,до 800×800×900,E1/E3,800 фронт,SHARED,D08_COVERS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.004,PA-01,DSP-04,Холодная постановка,CAPEX,Раздача,1,позиция,Без теплового моста,1200×700,E1 при охлаждении,1000 фронт,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.005,PA-01,DSP-05,Стол экспедитора,CAPEX,Раздача,1,шт.,Отдельная функция экспедиции,1200–1800×700,E1/LAN,круговой доступ,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.006,,DSP-06,Ячейки комплектования,CAPEX,Раздача,10,ячейки,Не менее 8–10 заказов,по проекту,—,доступ упаковщика,CAFE,D01_DIRECT,MANDATORY,,10,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.007,,DSP-07,Стол упаковки,CAPEX,Раздача,1,шт.,≥1800×700,1800×700,E1/LAN,1000 фронт,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.008,,DSP-08,Стеллаж готовых заказов,CAPEX,Раздача,1,секция,Разделённое хранение,глубина 500–600,—,доступ курьера,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.009,,DSP-09,Принтеры этикеток и весы,CAPEX,Раздача,1,комплект,2 принтера и 1 весы,настольные,E1/LAN,рабочий доступ,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.010,,DSP-10,KDS и экраны участков,CAPEX,Раздача,4,экрана,"Экспедитор, горячий, холодный, пицца",настенные/настольные,E1/LAN,по планировке,SHARED,D09_TRANSACTIONS,MANDATORY,,4,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.DSP.011,PA-02,DSP-11,Шпильки чистых тарелок,CAPEX,Раздача,2,шт.,Передача и хранение,около 600×700×1800,—,800 фронт,SHARED,D08_COVERS,MANDATORY,,2,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.001,,BAN-01,Мобильный стол банкетного порционирования,CAPEX,Банкеты,1,шт.,Две позиции выдачи,по планировке,—,доступ двух работников,BANQUETS,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-046;V-I-092,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.002,,BAN-02,Вторая позиция порционирования,CAPEX,Банкеты,1,комплект,Инвентарь второй позиции,по планировке,—,рабочий доступ,BANQUETS,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-046,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.003,,BAN-03,Тележка для горячих тарелок,CAPEX,Банкеты,1,шт.,20–24 тарелки,по модели,—,маршрут без пересечений,BANQUETS,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-047;V-I-092,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.004,,BAN-04,Банкетные блюда общей подачи,CAPEX,Банкеты,4,комплекта,4 сервисные группы по 5 гостей,по сервировке,—,хранение,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-096,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.005,,BAN-05,Банкетная индивидуальная посуда,CAPEX,Банкеты,24,комплекта,21 комплект + округлённый резерв,по сервировке,—,хранение,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-096,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.006,,BAN-06,Банкетный текстиль,CAPEX,Банкеты,4,комплекта,4 стола + резерв после планировки,по столам,—,хранение,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-096,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAN.007,,BAN-07,Временное хранение и транспорт посуды,CAPEX,Банкеты,1,комплект,Чистый/грязный поток,по планировке,—,маршрут без пересечений,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-046;V-I-092,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.001,DW-01,WSH-01,Купольная посудомоечная машина,CAPEX,Мойка,1,шт.,Паспорт ≥40; факт ≥25 кассет/час,около 700×800×1500,E3/W/D/V,линейный фронт,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.002,PW-02;DW-03,WSH-02,Приёмный стол,CAPEX,Мойка,1,шт.,1200–1500 мм,1200–1500×700,W/D при ванне,проход 1000,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.003,DW-03,WSH-03,Разгрузочный стол,CAPEX,Мойка,1,шт.,1200–1500 мм,1200–1500×700,—,проход 1000,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.004,DW-02,WSH-04,Предварительный душ,CAPEX,Мойка,1,шт.,Профессиональный,встроенный,W/D,рабочий доступ,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.005,DW-03,WSH-05,Специализированные кассеты,CAPEX,Мойка,14,шт.,Формат 500×500; по типам посуды,500×500,—,хранение,SHARED,D07_DISHWASH,MANDATORY,,14,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.006,DW-03,WSH-06,Хранение кассет,CAPEX,Мойка,1,зона,6–8 грязных и 4–6 чистых,по плану,—,разделение потоков,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.007,PW-01,WSH-07,Двухсекционная ванна инвентаря,CAPEX,Мойка,1,шт.,Отдельно от продуктовых ванн,1200–1500×700,W/D,проход 1000,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.008,PW-03;DW-03,WSH-08,Стеллажи сушки,CAPEX,Мойка,1,комплект,"GN, противни, кастрюли",глубина 500–600,—,проход 900,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.009,,WSH-09,Стаканомоечная машина,CAPEX,Мойка,1,шт.,Отдельный барный контур,около 600×650×850,E1/E3/W/D,800 фронт,BAR,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-084,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.WSH.010,UT-01,WSH-10,Рукомойник мойки,CAPEX,Мойка,1,шт.,Отдельный,400×400,W/D,800 фронт,SHARED,D07_DISHWASH,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.TBL.001,,TBL-01,Посуда и приборы зала,CAPEX,Посуда,1,комплект,Историческая оценка; повторная матрица S04,по сервировке,—,хранение,SHARED,D08_COVERS,MANDATORY,,1,0,254437,,EXISTING_ESTIMATE_NOT_REVALIDATED,TABLEWARE_REGISTER_2026-07-25,V-I-083,Операции / Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.TBL.002,,TBL-02,Барное стекло,CAPEX,Посуда,1,комплект,Историческая оценка; барная программа открыта,по карте напитков,—,хранение,BAR,D01_DIRECT,MANDATORY,,1,0,117576,,EXISTING_ESTIMATE_NOT_REVALIDATED,TABLEWARE_REGISTER_2026-07-25,V-I-084,Бар / Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.TBL.003,,TBL-03,Посуда гостиничных завтраков,CAPEX,Посуда,1,комплект,20 обслуживаний + оборот,по сервировке,—,хранение,CAFE,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-083,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.TBL.004,,TBL-04,Банкетная сервировка,CAPEX,Посуда,1,комплект,См. BAN-04–BAN-06,по сервировке,—,хранение,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-096,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.TBL.005,,TBL-05,Физический складской запас на бой,CAPEX,Посуда,1,комплект,По артикульной матрице,по сервировке,—,хранение,SHARED,D08_COVERS,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-083,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.IT.001,,IT-01,POS и ККТ,CAPEX,IT и безопасность,1,комплект,Аналитика по каналам,по проекту,E1/LAN,по проекту,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.IT.002,,IT-02,Сетевое оборудование,CAPEX,IT и безопасность,1,комплект,"KDS, POS, резервирование",по проекту,E1/LAN,по проекту,SHARED,D09_TRANSACTIONS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.IT.003,,IT-03,Видеонаблюдение,CAPEX,IT и безопасность,1,система,Критические зоны и кассы,по проекту,E1/LAN,по проекту,SHARED,D02_AREA,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.IT.004,,IT-04,Контроль доступа,CAPEX,IT и безопасность,1,система,По правовому режиму зон,по проекту,E1/LAN,по проекту,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.IT.005,,IT-05,Охранная и тревожная сигнализация,CAPEX,IT и безопасность,1,система,По объекту,по проекту,E1/LAN,по проекту,SHARED,D02_AREA,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.FUR.001,,FUR-01,Мебель зала КАФЕ,CAPEX,Мебель,1,комплект,После утверждения 20/26 мест,по планировке,—,проходы по проекту,CAFE,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.FUR.002,,FUR-02,Мебель банкетной зоны,CAPEX,Мебель,1,комплект,20 гостей; до 26 после проверки,по планировке,—,банкетные маршруты,BANQUETS,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.FUR.003,,FUR-03,Стойка и мебель бара,CAPEX,Мебель,1,комплект,После барной программы,по планировке,E1/W/D,по проекту,BAR,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.FUR.004,,FUR-04,Служебная мебель,CAPEX,Мебель,1,комплект,По штатной и складской потребности,по планировке,—,проходы,SHARED,D02_AREA,DATA_REQUIRED,,,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.COM.001,,COM-01,Доставка и подъём оборудования,CAPEX,Ввод в эксплуатацию,1,комплект,По всем поставкам,—,—,—,SHARED,D13_DIRECT_COST,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.COM.002,,COM-02,Монтаж и подключения,CAPEX,Ввод в эксплуатацию,1,комплект,По паспортам,—,все требуемые,—,SHARED,D13_DIRECT_COST,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.COM.003,,COM-03,Пусконаладка,CAPEX,Ввод в эксплуатацию,1,комплект,С актами,—,—,—,SHARED,D13_DIRECT_COST,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.COM.004,,COM-04,Обучение работе с оборудованием,CAPEX,Ввод в эксплуатацию,1,комплект,По ключевым единицам,—,—,—,SHARED,D10_LABOR_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.COM.005,,COM-05,Стартовый комплект запасных частей,CAPEX,Ввод в эксплуатацию,1,комплект,По рекомендации производителя,—,—,—,SHARED,D04_MACHINE_HOURS,CONDITIONAL,GATE-COM-05,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
